activitat_,nom_abocam,Punt2
EDAR L'AVELLÀ,MANCOMUNITAT PENEDÈS-GARRAF EDAR DE L'AVELLA: TORRENT DE CAL BARRALÓ,76
"MODELAUTO CASH, SL","MODELAUTO CASH, SL (SORTIDA SOBREEIXIDOR DECANTADOR+PLUVIALS CONTACTE PROCÉS)",417
"DESBALLESTAMENTS POL, SL","AA2002001670 (DESBALLESTAMENTS POL, SL.)",471
"VILA VILLAGE, SCP (CAMPING ELS PINS)",ABOC.CAMPING ELS PINS - REC DE GASERANS,353
COMUNITAT DE PROPIETARIS LA RUBINA,"COMUNITAT DE PROPIETARIS ""LA RUBINA"" (SORTIDA DEPURADORA)",
"FARMABAN, SA","RIU d'OR FARMABAN,SA 021999005061",244
CENTRE PENITENCIARI CAN BRIANS,CENTRE PENITENCIARI CAN BRIANS I i II. Sortida depuradora,122
AJUNTAMENT DE VILAMALLA,EDAR POLÍGON EMPORDÀ INTERNACIONAL (SORTIDA AIGÜES RESIDUALS),511
"ASSISTÈNCIA COSTA BRAVA, SL","ASSISTÈNCIA COSTA BRAVA, SL (SORTIDA PLUVIALS CONTAMINADES DEPURADES)",395
"BALDHERI, SL",BALDHERI_RIERA DE MASROCS,452
AJUNTAMENT DE FONOLLOSA - ST. VICENÇ DE FALS,AJUNTAMENT DE FONOLLOSA - NUCLI DE SANT VICENÇ DE FALS,214
"HIERROS Y DESGUACES CUENCA, SL",HIERROS Y DESGUACES CUENCA (SORTIDA SANITÀRIES I PLUVIALS NO CONTAMINADES),19
"CERAMICA ELIAS, SA",CERAMICA ELIAS (SORTIDA DEPURADORA),185
RWE INNOGY IBERIA SLU,RWE INNOGY ABOCAMENT PROCÉS I REBUIG,364
"SAICA NATUR NORESTE, SL",Abocament pluvials Papeles Allende,32
PARROQUIA DE SANTA MARIA,PARROQUIA DE SANTA MARIA : RIERA DE PONTONS,599
"FORESTAL CATALANA, SA","FORESTAL CATALANA, SA (SORTIDA DEPURADORA)",356
"MONTSENYSER, SL  -HOTEL VILAR RURAL DE SANT HILARI-",HOTEL VILAR RURAL DE ST. HILARI (SORTIDA DEPURADORA),350
AUTORITAT PORTUÀRIA DE TARRAGONA (TARRAGONA),AUTORITAT PORTUÀRIA DE TARRAGONA (NÚM.7): RIU FRANCOLÍ,
"OCERANS CIVIT, VALENTI","OCERANS CIVIT, VALENTI: TORRENT DELS SAUMELLS",
"FRESENIUS MEDICAL CARE ESPAÑA, SA","FRESENIUS MEDICAL CARE ESPAÑA, SA, (AIGÜES RESIDUALS PROCÉS)",317
"DE ESPONA VILARRUBIA, CARLES","DE ESPONA VILARRUBIA, CARLES (SORTIDA DEPURADORA)",34
"AIGUA MINERAL DEL PIRINEU, SA  -FONT ARIAN-",AIGUA MINERAL DEL PIRINEU SA (SORTIDA DEPURADORA),492
"COBEGA EMBOTELLADOR, SLU","ABOCAMENT COBEGA, SA",304
"G&P LA ROQUETA 21, S.L.","AA2003000015 ASSE-INM-FARMA (Golf la Roqueta, Castellgalí)",203
"ROURA PASCUAL, NÚRIA",ABOCAMENT NURIA ROURA PASCUAL - RIERA DE SANT MIQUEL,416
COMISSIO GESTORA URBANITZACIO PICARANY,Abocament URBANITZACIÓ PICARANY (Barranc de Picarany),16
"IBERICAR CADI, SA","Abocament FUNDICION PUJOL MUNTALA, SA",244
"LA BOIXEDA, S.L -CASA TURISME RURAL EL MAS-","LA BOIXEDA, S.L - rec del Mas",470
FUNDACIÓ ESPLAI GIRONA  -CASA DE COLÒNIES ELS ARCS-,CASA DE COLÒNIES ELS ARCS  (SOBREEIXIDOR FOSSA SÈPTICA RESIDUALS + PISCINA + PLUVIALS),562
"MORLA LORENZANA, FELIX SECUNDINO",FELIX MORLA LORENZANA (SORTIDA SEPARADOR),13
"REIXAGÓ AGRÍCOLA I RAMADERA, SL","REIXAGÓ AGRÍCOLA I RAMADERA, SL (SORTIDA SANITÀRIES I NETEGES DE SALES DE MUNYIR VAQUES)",261
"AGROPECUARIA CATALANA, SCCL","AGROPECUARIA CATALANA, SCCL (SORTIDA DEPURADORA)",244
AUTORITAT PORTUÀRIA DE TARRAGONA (TARRAGONA),AUTORITAT PORTUÀRIA DE TARRAGONA (NÚM.6): RIU FRANCOLÍ,
"RESTAURADORS GERODA, SL -RESTAURANT D'EN BAHI-",RESTAURANT D'EN BAHI (SORTIDA DEPURADORA),402
"PEIXOS POVILL, C.B.","PEIXOS POVILL, CB",278
"GUIXOS CANALS, SL","GUIXOS CANALS, LAS IGLAS (LIXIVIATS)",167
"SIMO DE PALAU, SL","SIMO DE PALAU, S.L   (SORTIDA DEPURADORA)",45
"SAVASUN, S.A","SAVASUN,SA -Barranc dels Gorgs",2
"MORENO SERRANO, IVAN  -DESBALLESTAMENTS MORENO-",ANGEL MORENO RECHES (sortida sistema depuració),523
"LUOK, SL -CASA FONTANA-","LUOK, SL  (SORTIDA FOSSA SÈPTICA + FILTRE)",396
FUNDACIÓ ESCOLES FAMILIARS RURALS DEL PENEDÈS,AA2003000651 Torrent de Cal Cassanyes,68
ENTITAT URBANÍSTICA DE CONSERVACIÓ DEL POL. IND EL MOLINOT,EDAR ENTITAT URBANISTICA DE CONSERVACIÓ DEL PO. IND. EL MOLINOT (sortida riera),334
AJUNTAMENT DE VILOPRIU (EDAR I COL. DE VALLDAVIÀ),AJUNTAMENT DE VILOPRIU (EDAR I COL. DE VALLDAVIÀ),
"VINÍCOLA DE SARRAL I SECCIÓ DE CRÈDIT, COVISAL, SCCL",COOPERATIVA VINICOLA DE SARRAL (SORTIDA SANITÀRIES),48
"ROCA SANITARIO, SA",ABOCAMENT DE ROCA SANITARIO A RIERA LLOBATERA,95
C.C. DEL BAIX EMPORDÀ (CENTRE ACOLLIDA ANIMALS),CONSELL COMARCAL DEL BAIX EMPORDÀ (CENTRE ACOLLIMENT ANIMALS ABANDONATS): TORRENT INNOMINAT,395
INSTITUT CULTURAL CIC - ESCOLA THAU SANT CUGAT,INSTITUCIÓ CULTURAL DEL CIC -ESCOLA THAU (SORTIDA DEPURADORA),286
CAN SURIOL (JOSEP CAMPS ROVIROSA),JOSEP CAMPS ROVIROSA (CAN SURIOL) (SORTIDA DEPURADORA),87
TERESA MORET GARDELL (MAS COLLELL),TORRENT DE LA SORRIBA -MAS COLLELL,504
"DOSRIUS CASASIN, RAMONA",RAMONA DOSRIUS CASASIN - CAN GRAU (SORTIDA DEPURADORA),313
AJUNTAMENT DE SANTA LLOGAIA D'ÀLGUEMA - POL.IND.5 P.P. 1,AJUNTAMENT DE SANTA LLOGAIA D'ÀLGUEMA POL.IND.5 - llera,595
"PRAT PLANAS, LLUÍS  -TURISME RURAL MAS JONQUER-",CASA DE TURISME RURAL MAS JONQUER (SORTIDA DEPURADORA),527
AJUNTAMENT DE PUIG-REIG (POL. IND.CAN VIDAL II),EDAR POL.INDL.CAL VIDAL II (SORTIDA DEPURADORA),268
"PAHI, SL","PAHI, SL",104
AJUNTAMENT DE MONT-RAL (NUCLI AIXÀVIGA),RIU GLORIETA (AJUNTAMENT DE MONT-RAL nucli de L'Aixevega),36
"SANCHEZ ORTIZ, ANTONI","TAMISA AGRICOLA, SL: RIERA DE LA BOELLA",22
"MIRFER, SA","MIRFER, SA_1",
"GOHER TEXTIL CALELLA, SA","GOHER  TÈXTIL CALELLA, SA (PRETRACTAMENT)",352
COM.PROP.NAUS INDUSTRIALS D'OLOT A VIC,POLIGON INDUSTRIAL DE LA VALL D'EN BAS (SORTIDA DEPURADORA),531
"COBEGA EMBOTELLADOR, SLU",ABOCAMENT COBEGA 1D LLACUNA,304
"PGA GOLF DE CATALUNYA, SA","PGA GOLF DE CALDES,SA (SORTIDA DEPURADORA)",428
"CEMENTOS MOLINS INDUSTRIAL, SA",CIMENTS MOLINS EXTRACTIVA LA FOU (SORTIDA FOSSA SÈPTICA),108
AJUNTAMENT DE SANT ESTEVE SESROVIRES,SECTOR RESIDENCIAL CAN BARGALLÓ - AJUNTAMENT DE SANT ESTEVE SESROVIRES (SORTIDA DEPURADORA),122
EDAR EL PRAT DE LLOBREGAT,EMSHTR EDAR DEL PRAT (MANTENIMENT CABAL AL RIU),96
"BAGESPIN, SL","BAGESPIN, SL (SORTIDA SANITÀRIES)",193
"IMPRO LACORTE, SL",IMPRO LACORTE SL (SORTIDA DEPURADORA),353
"TRACTAMENTS I SERVEIS AMBIENTALS VILA, SL",FERRAN VILA VILA (Sortida depuradora),411
DW PLASTICS NV (SUCURSAL EN ESPAÑA),Abocament D.W. PLASTICS -Riu Cardener,224
"ARROBA GANADERIA, SL  -GRANJA MAS MATEU-","ARROBA GANADERIA, SL  (SORTIDA DEPURADORA)",393
"CERAMICAS AGUILAR, SL","CERAMICAS AGUILAR, SA (SORTIDA FOSSA SÈPTICA)",109
"INFRAESTRUCTURES VIARIES DE CATALUNYA, SA","INFRAESTRUCTURES VIARIES DE CATALUNYA, SA -PEATGE I BARRERA  ARENYS (ABOCAMENT 1)",
"IBERBOARD MILL, S.L.","IBERBOARD MILL, SL: RIU FRANCOLÍ.",41
"CASA DARNÉS, SA",CASA DARNES SA (ABOCAMENT 2. HIDROCARBURADES + RENTAT DE CAMIONS. SORTIDA SEPARADOR + OXIDACIO),
"ESPORC, SA","ESPORC, SA (SORTIDA PRETRACTAMENT)",471
"POLIESTER NAUTIC, SL","POLIESTER NAUTIC, S.L (SORTIDA DEPURADORA) - Riera Xica",348
EDAR URB. SECTOR ELS PRATS  (VILADEMULS),EDAR URB. SECTOR ELS PRATS  (SORTIDA DEPURADORA),406
LA FAGEDA FUNDACIÓ,LA FAGEDA SCCL (EDAR pròpia + zona de llacunatge),619
"GERMANS CAÑET-XIRGU, SL","GERMANS CAÑET-XIRGU, SL (SORTIDA POU DESARENADOR, AIGÜES DE PLUJA)",421
CENTRE DE TELECOMUNICACIONS A MONISTROL DE MONTSERRAT,AA2003002170 MONTSERRAT,190
ESCOLA DEL TREBALL DEL RIPOLLÈS -FUNDACIÓ EDUARD SOLER,FUNDACIÓ EDUARD SOLER - riu Ter (Sortida depuradora,488
ESCOLA DE VITICULTURA I ENOLOGIA MERCE ROSSELL I DOMENECH,Abocament ESCOLA ESPIELLS - DIPUTACIO DE BARCELONA (torrent d'Espiells),135
EDAR VILAMALLA,EDAR VILAMALLA (RESOL REVISIÓ),511
FUNDACIÓ PRIVADA RESILIS - MAS RODON,FUNDACIÓ PLATAFORMA EDUCATIVA (SORTIDA FOOSA SÈPTICA + FILTRE),39
AJUNTAMENT DE GÓSOL,RIU CARDENER  (AJUNTAMENT DE GÓSOL - DEPURADORA),241
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU -BORRASSÀ (SORTIDA TRACTAMENT)",529
"AUTOPISTES DE CATALUNYA, SA","AUTOPISTES DE CATALUNYA, SA (BARRERA CUBELLES)",
"ENVERNISSATS AGUILA, SL",AA2003001606-Riera Seca-Tenes-Besòs,305
FUNDACIÓ AMPANS,ABOCAMENT AMPANS: ABOCAMENT A UN AFLUENT DEL RIU D'OR.,245
"LLAURADÓ MARTÍNEZ, JOSEP M.",JOSEP M. LLAURADO MARTINEZ (LLERA),
JUNTA COMP. SECTOR CAN MARGARIT,JUNTA COMPENSACIÓ SECTOR CAN MARGARIT: TORRENT DE CAN MARGARIT,122
"CAMPSA ESTACIONES DE SERVICIO, S.A","CAMPSA ESTACIONES DE SERVICIO, S.A (SORTIDA TRACTAMENTS)",67
"CAMPS MOTOR, SA","CAMPS MOTOR, SA (SORTIDA TRACTAMENT)",388
"CONTENEDORES REUS, SA",BARRANC DE BARENYS (CONTENEDORES REUS),13
"ROIG PUJOL, MARIA TERESA",MARIA TERESA ROIG PUJOL (sortida depuradora) - torrent del Carner,195
"ÀRIDS GERMANS CURANTA, SA","ARIDOS HERMANOS CURANTA, SA (SORTIDA BASSA DE DECANTACIÓ)",
"SERVEIS MUNICIPALS DE RIUDARENES, SA",REC DE CAN BOTA 2 (PLUVIALS),374
"PUY LLORENS, MONTSERRAT",AA20030001981 RIERA D'AIGUA D'ORA,228
"2 GRAUS 2009, SL -RESTAURANT MAS TARRÉ-",Abocament RESTAURANT MAS TARRE SCP - riera Gotarra,431
"LA MOIANESA, SL","LA MOIANESA, SL (SORTIDA DEPURADORA)",250
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU -PEATGE CASSA- (SORTIDA TRACTAMENT)",424
"RAURELL VALLS, JOSEP  -TALLER LES ALEGRIES-",022002000035-Torrent de Montbarbat,
"AQUARIOS HOTELERA, SA  -CÀMPING AQUARIUS-","AQUARIOS HOTELERA, SA  -CÀMPING AQUARIUS- (SORTIDA DEPURADORA EMPRESA)",
ESCOLA FAMILIAR AGRARIA MAS QUINTANAS,MAS QUINTANAS: Sortida depuradora,476
"LA TEULERÍA, SL  -RESTAURANT-","LA TEULERÍA, SL  -RESTAURANT-  (SORTIDA PRETRACTAMENT)",502
"E.S.TORDERA KM.684, SL","CARBURANTS TORDERA, SL (SORTIDA DEPURADORA)",362
"COMPAÑIA LOGISTICA DE HIDROCARBUROS CLH, SA","COMPAÑIA LOGÍSTICA DE HIDROCARBUROS, CLH SA (SORTIDA DEPURADORA HIDROCARBURADES)",435
"DICEPA HIGIENE, SL","DICEPA HIGIENE, SLU (SANITÀRIES LAVABOS DMI)",154
"MATIAS GOMÀ TOMÀS, SA","MATIAS GOMÀ TOMÀS,SA (SORTIDA SANITÀRIES)",41
CONSELL COMARCAL DE L'ALT EMPORDA -DC + CTR PEDRET I MARZÀ-,ABOCADOR PEDRET I MARZÀ  (SORTIDA DEPURADORA),514
"BCNONWOVENS, SL","BC NONWOVENS, SL",147
"COMAQUIN, SA","AA2003001515 RIU MOGENT (COMAQUIN,SA)",323
"VAILLS I FILLS 1969, SL -EXTRACTIVA MONTPERDUT 02-",VALLS I FILLS (SORTIDA PLUVIALS),516
AJUNTAMENT DE GUALBA (NUCLI URBÀ CAN PLA),AJUNTAMENT DE GUALBA - NUCLI URBÀ DE CAN PLA (SORTIDA DEPURADORA),346
"CRODA IBÉRICA, SA (MEVISA SITE)","ABOC. PROCÉS CRODA OLEOCHEMICALS IBÉRICA, SA (MEVISA SITE): 021996000250",360
"RECUBRIMIENTOS Y MOLDEADOS, SA - REMOSA","RECUBRIMIENTOS I MOLDEADOS, SA (SORTIDA SANITÀRIES 2)",220
"GASSOL SAFONT, FRANCISCO ( MASIA XURIGUERA)",FRANCISCO GASSOL SAFONT - riera Vilanoveta,
"CLOTA DURAN, LLUIS",LLUIS CLOTA DURAN (sortida depuradora) - Riu Gurn,532
"CAMPSA ESTACIONES DE SERVICIO, SA","CAMPSA ESTACIONES DE SERVICIO, SA: TORRENT MAS D'EN PLA",213
"VINS GRAU, SL",VINS GRAU SL (SORTIDA DEPURADORA),199
CASINO DE FIGARÓ,"PROPIEDAD CASINO DEL FIGARÓ, SL I NUCLI DE GALLICANT: RIU CONGOST",322
SA VICHY CATALAN,"022001000008 - AB 1 VICHY CATALAN, SA",367
"EVOFEED, SL","EVOFEED,SL (SORTIDA TRACTAMENT)",261
"PLASFUR, SA",PLASFUR_ riu Fluvià,537
"PATEL, SAU","PATEL, SA  (SORTIDA DEPURADORA EMPRESA)",580
"GARATGE ESGLEYES, SL","RIERA DE RIUDEVILA GARATGE ESGLEYES, SC AA2003001350",424
"CORCHO DEL PAIS, SA",Riu Esplet: 022002000054,374
"MUDANZAS CORASE, SL",TORRENT DE CAN BARGALLÓ ( MUDANZAS CORASE),122
"ABELLO LINDE, SA",ABELLO-Abocament,113
"LAMITOR, SA",AA2003000347_x000D_,353
"CARERAC, SL",CARERAC SL (SORTIDA DEPURADORA),302
"CERAMIQUES ESTRUCTURALS DEL PENEDES, SA",RIERA SANT MARÇAL AA2003000443 CERAMIQUES ESTRUCTURALS DEL PENEDES,84
"LATORRE RIU, M. DOLORS  -CASA COLÒNIES-",RIERA DE LES GORGUES ( MARIA DOLORS LATORRE RIU),457
LA FARGA YOURCOPPERSOLUTIONS SA,ABOCAMENT PLUVIALS LA FARGA LACAMBRA,476
"ROCA BAZAN, CARLOS",CARLOS ROCA BAZAN (LLERA),377
AJUNTAMENT DE BRUNYOLA - POLÍGON INDUSTRIAL CAN ILLUS,POLÍGON INDUSTRIAL CAN ILLUS (SORTIDA PRETRACTAMENT),420
"FRIGORÍFIC SANTA COLOMA, SLU","ABOC. REFRIGERACIÓ INDUSTRIAS MAYNOU, SA",376
"ALBERGUE 4 ESTACIONES, SL","ALBERGUE 4 CAMINOS, SL (SORTIDA DEPURADORA)",104
FUNDACIÓ PRIVADA ESCOLES UNIVERSITÀRIES GIMBERNAT,FUNDACIÓ PRIVADA ESCOLES UNIVERSITÀRIES GIMBERNAT (SORTIDA DEPURADORA),286
"MOLISPELT, SL - CAMPING L'ESPELT","RIU TORT (MOLISPELT, SL)",593
CEMENTOS PORTLAND VALDERRIVAS SA,UNILAND CEMENTERA SA (1) (SORTIDA DEPURADORA),71
"SERVEIS MEDIAMBIENTALS DE LA SELVA, NORA, SA -ABOCADOR DE RESIDUS-",FOCUS 1 RIU ESPLET,374
"DICEPA HIGIENE, SL","DICEPA HIGIENE, SLU (SANITÀRIES NAU CONVERTING, ZONA CAMIONERS)",154
AJUNTAMENT DE CALDERS - NUCLI CALDERS,AJUNTAMENT DE CALDERS - EDAR NUCLI CALDERS,251
"NOGAREDA BURCH, LLUIS",LLUIS NOGAREDA BURCH (sortida depuradora)- riera de Bianya,543
"GIVAUDAN IBÉRICA, SA",ABOC. GIVAUDAN-LA TORDERA,612
"RECUBRIMIENTOS Y MOLDEADOS, SA - REMOSA","RECUBRIMIENTOS Y MOLDEADOS, SA (SORTIDA SANITÀRIES 1)",220
SERVEIS GASTRONOMICS S J S.C.,ESCOLA D'EQUITACIÓ COMARCAL DE LA GARROTXA SL (SORTIDA DEPURADORA),451
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (SORTIDA TRACTAMENT 4)",121
"VOLCATALAN, SA","TORRENT DELS LLOPS  (VOLCATALAN,SA)",132
PLAÇA GERMANS MOLINS RIBOT,"ÀMBIT REHABILITACIÓ, SL I JULIO FERNANDEZ CHICHARRO (SORTIDA DEPURADORA)",108
EDAR FLAÇA,ABOC EDAR FLAÇÀ,402
CONSELL COMARCAL DEL BERGUEDÀ,"CONSELL COMARCAL DEL BERGUEDÀ, SANITÀRIES, FOCUS 2",274
"TRADILLO INVERSIONES, SL","TRADILO INVERSIONES, SL ( PLUVIALS CONTAMINADES)",20
AJUNTAMENT DE VALLS  - NUCLI MASMOLETS,Abocament AJUNTAMENT DE VALLS -,39
"COGENERACION UFIC, SA",ABOCAMENT COGENERACION UFIC (POLIGON LA RATA),155
ASOCIACION PROPIETARIOS PARCELISTAS FINCA OASIS,Abocament 1 URBANITZACIO FINCA OASIS - riera de Sant Jaume,174
"DICEPA HIGIENE, SL","DICEPA HIGIENE, SLU (SANITARIES NAU FABRICACIÓ PAPER)",154
"SERVEIS MEDIAMBIENTALS DE LA SELVA, NORA, SA -ABOCADOR DE RESIDUS-",FOCUS 2,374
"AIGÜES DE CASTELLBISBAL EMPRESA MIXTA, SL (CASTELLBISBAL)",AIGÜES DE CASTELLBISBAL SA _ETAP (SORTIDA TRACTAMENT FANGS),118
"MERCADER MAS, OLGA -RESIDENCIA RURAL LA VIOLELLA-",RESIDÈNCIA RURAL LA VIOLELLA (SORTIDA DEPURADORA),544
COMUNITAT USUARIS ABOCAMENT EDAR FAR EMPORDA,COMUNITAT D'USUARIS ABOCAMENT EDAR FAR D'EMPORDÀ (SORTIDA DEPURADORA),512
CONSORCI GESTIÓ RESIDUS URBANS D'OSONA -DIPÒSIT CONTROLAT-,ABOCADOR D'ORÍS  (SORTIDA BASSA DE SEMINETES DEL VAS A PERMEATS I PLUVIALS),482
"BRITLI, SL   -CÀMPING LAVA-",CAMPING LAVA: sortida EDAR,619
ENTIDAD URB. COL. DE CONSERV. RUSTICAL BALNEARIO,ENTIDAD URB. COL. DE CONSERV. RUSTICAL BALNEARIO: BARRANC DE RIFÀ,
"TENENCIAS FIGUERENSES, SA - CLUB DE TENIS FIGUERES","TENENCIAS FIGUERENSES, SA - CLUB DE TENIS FIGUERES (SORTIDA FOSSA) S`P",507
"TECNICAS E INGENIERIA DE PROTECCION, SA","TÉCNICAS E INGINIERIA DE PROTECCIÓN, SA (SORTIDA DEPURADORA)",75
AREAS SAU  -ÀREA DE L'EMPORDÀ 2018-,"AREAMED 2000, SA (AREA DE L'EMPORDÀ) (SORTIDA SOBREEXIDOR DIPÒSIT POST. DECANTADOR)",574
MONBAKE GRUPO EMPRESARIAL S.A.U.,"BELLSOLÀ, SA (SORTIDA AIGÜES RESIDUALS)",437
"DEUTSCHER SHAFERHUND CENTER, SL","ABOCAMENT KHAFKA, SL",370
"JEAN LEON, SL","JEAN LEÓN, SL  (SORTIDA DEPURADORA)",142
"ENDESA GENERACION, SA  -C.H. LES ILLES-","ENDESA GENERACION, SA (llera) - riu Ter",562
"COMPAÑIA LOGISTICA DE HIDROCARBUROS CLH, SA","COMPAÑIA LOGÍSTICA DE HIDROCARBUROS, CLH SA SORTIDA DEPURADORA SANITÀRIES",435
AGRICOLA I RAMADERA DEL VALLES,"AGRICOLA I RAMADERA DEL VALLES, SL (sortida al torrent)",297
FUNDACIO CATALANA DE L'ESPLAI - CAN MASSAGUER -,Can Massaguer,346
"ALBRIC, SA","ALBRIC, SA",40
"MIGUEL TORRES, SA","MIGUEL TORRES, SA  (PACS DEL PENEDÈS): ABOCAMENT A LA RIERA DE LLITRÀ (RIERA DE PACS)",74
"ENVASES DEL VALLES, SA","Abocament - ENVASES DEL VALLES,SA- clavegueram i riu Mogent",323
"FRANCISCO PAGÉS VALENTÍ, SA","ABOCAMENT FRANCISCO PAGÉS VALENTÍ, SA (SANITÀRIES)",545
"MASIA CAN FONT, SL","MASIA CAN FONT, SL",195
"AGUSTIN BARRAL, SA",AGUSTIN BARRAL SA - Riu Llobregat,284
"AUTOSUMINISTRES MOTOR, SA  -VIC-","Abocament AUTOSUMINISTRES MOTOR, SA - torrent de Sant Jaume",470
"AUTEMA, SA",AUTEMA SA (TRACTAMENT DE LES CABINES DEL PEATGE PRINCIPAL DE TERRASSA-LES FONTS),115
"VINS FONT, SA","EDAR - TORRENT DE CAN BRUNA (VINS FONT, SA)",70
"EXPLOTADORA DE MANANTIALES, SA (AIGUA FONT NOVA)",ABOCAMENT EXPLOTADORA DE MANATIALES,59
CEMENTOS PORTLAND VALDERRIVAS SA,AA2003000500 (RIERA DE VALLCARCA),
"ENDESA GENERACION, SA  -C.H. PASTERAL  II-",ENDESA GENERACION -CELLERA DE TER-,445
FLOR DE MAIG (CENTRE FORMACIÓ I TREBALL),TORRENT CAN COLL (ORGANISME FLOR DE MAIG - DIPUTACIÓ DE BARCELONA),288
"NELVI, SCP","NELVI, SCP (ANTIC BATALLA SANT CRISTÒFOL, SL - SORTIDA DEPURADORA)",190
"COMERCIAL AYMERICH, SA",ABOCAMENT SANITÀRIES COMERCIAL AYMERICH,470
PARC LOGÍSTIC DE L'ALT PENEDÈS,Abocament PARC LOGISTIC DE L'ALT PENEDES - riu Anoia,135
AJ. SERRA DE DARÓ - SISTEMA DE SANEJAMENT NUCLI DE SANT ISCLE,AJUNTAMENT DE SERRA DE DARÓ  (SORTIDA DEPURADORA),391
"ANGLADA PUIGCERVER, JORDI -FORMATGERIES DE CANTONIGRÒS-","ANGLADA PUIGCERVER, JORDI  -FORMATGERIES DE CANTONIGROS-  (SORTIDA DEPURADORA EMPRESA)",457
AJUNTAMENT DE FOGARS DE LA SELVA,POLIGON INDUSTRIAL MARGE DRET DEL RIU TORDERA I POL CAN BATALLO RIU TORDERA,360
"GESTORA DE RUNES DE LA CONSTRUCCIÓ, SA","GESTORA DE RUNES DE LA CONSTRUCCIÓ, SA_Abocament (Riera de Clariana)",166
"EXCAVACIONS ROSELL, SL",EXCAVACIONS ROSELL (Aigües pluvials),348
MINYONS ESCOLTES I GUIES SANT JORDI DE CATALUNYA,MINYONS ESCOLTES I GUIES SANT JORDI DE CATALUNYA,94
"SECTOR INDUSTRIAL ""EL FOIX""",SECTOR INDUSTRIAL FOIX (SORTIDA DEPURADORA),68
"PRUDENCIA ANDA BALLESTA,MIGUEL ROVIRA GALIMANY,MIGUEL I MARTA ROVIRA ANDA",PRUDENCIA ANDA BALLESTA (MASIA CAN BARATA),116
"ESTEVE QUÍMICA, SA",ABOCAMENT PLUVIALS ESTEVE QUIMICA,584
"TRIPLASSA LA MAMBLA, SA",TRIPLASSA  (SORTIDA TRACTAMENT),482
ETAP DE CASTELL-PLATJA D'ARO,ETAP AJUNTAMENT CASTELL-PLATJA D'ARO (SORTIDA TRACTAMENT FÍSICOQUÍMIC),383
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (SORTIDA TRACTAMENT 5)",121
EDAR DE MONTBRIÓ DEL CAMP,EDAR MONTBRIO DEL CAMP (SORTIDA),10
"MOLÍ EL FERRÉ, SC","MOLÍ EL FERRÉS, SC - RIERA DE JOANETES",596
"CERCLE SABADELLÈS 1856, SCP",CERCLE SABADELLÈS (sortida EDAR) riu Sec,127
"ALBA SERVEIS EDUCATIUS, SL","ALBA SERVEIS EDUCATIUS, SL (llera)",554
CONSELL COMARCAL DEL RIPOLLÈS -ABOC.CLAUSURAT RIPOLLÈS-3,AA2003001570 RIU TER,487
"DCD TALLER AMBIENTAL, SL -CASA TURISME RURAL CAN PIFERRER-",CASA TURISME RURAL CAN PIFERRER (SORTIDA DEPURADORA BIOLÒGICA),433
"GRANJA SOLÉ, SL","GRANJA SOLÉ, SA  (SORTIDA DEPURADORA)",58
"LLOC NOU, SCCL","LLOC NOU, SCCL: RIERA DE VALLPARADÍS",117
"JOCS L'ESCALA, SL - KARTING L'ESTARTIT-","GENIMAR, SL (SORTIDA TRACTAMENT)",
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (PK. 171,5, SORTIDA 25), SORTIDA DEPURADORA",121
"MIR BAGÓ, SCP","MIR BAGÓ, SCP (SORTIDA DEPURADORA) - Torrent el Rierell",578
"ENDESA GENERACION, SA -CH LA BAELLS","ENDESA GENERACION, S.A CH. LA BAELLS (SORTIDA SISTEMA DE PRETRACTAMENT)",276
"SOREA, ETAP CAN SANS DE SANT CELONI",SOREA - ETAP CAN SANS (SORTIDA TRACTAMENT - AIGÜES DE NETEJA DELS FILTRES DE SORRA),340
"GARCIA GINEBRA, JOSEP M -CASA COLONIES-",JOSEP Mª GARCIA GINEBRA - riu Ges,479
"LLULL 80, SL","ESTACIÓ DE SERVEI (PROMOTORA LLULL 80, SL) (SORTIDA DEPURADORA)",291
"BALLIU EXPORT, SA","AA2003000664-BALLIU EXPORT, SA",429
"GONZÁLEZ GARCÍA, MARIA CARMEN","REST&HOST EXPERIENCE, SL (SORTIDA DEPURADORA)",255
"ESTACIÓ DE SERVEI, SA ""MEDOL""  N.C. 31412","CEPSA ESTACIONES DE SERVICIO, S.A - E.S. MEDOL (SORTIDA SEPARADOR D'HIDROCARBURS)",
"TAMAYO AUTODESGUACES, SL",Reciclatges Tamayo- Riu Congost a través d'un torrent,312
"COMAIGUA, SL (RIUDECANYES)",PLANTA POTABILITZADORA AJUNTAMENT DE RIUDECANYES (SORTIDA RENTAT FILTRES),3
"ALSINA BARCELÓ, RAMON  -MAS GIFREU-",RAMON ALSINA BARCELO- SORTIDA DEPURADORA,573
